Sample_num,Class
1,Unconsolidated Barren
2,Unconsolidated Barren
3,Unconsolidated Barren
4,Annual Crops
5,Annual Crops
6,Annual Crops
7,Annual Crops
8,Annual Crops
10,Annual Crops
11,Annual Crops
12,Annual Crops
13,Annual Crops
14,Annual Crops
17,Annual Crops
18,Shrubs
19,Mixed or Not Classified
22,Annual Crops
23,Annual Crops
24,Mixed or Not Classified
25,Mixed or Not Classified
26,Unconsolidated Barren
27,Annual Crops
28,Annual Crops
29,Annual Crops
30,Shrubs
31,Natural Grassland
32,Annual Crops
33,Shrubs
34,Shrubs
35,Shrubs
40,Shrubs
41,Shrubs
42,Shrubs
43,Shrubs
44,Shrubs
45,Natural Wooded Land
46,Natural Wooded Land
47,Annual Crops
48,Mixed or Not Classified
49,Annual Crops
51,Mixed or Not Classified
60,Mixed or Not Classified
65,Shrubs
67,Shrubs
78,Mixed or Not Classified
82,Mixed or Not Classified
85,Shrubs
97,Mixed or Not Classified
104,Shrubs
107,Mixed or Not Classified
113,Mixed or Not Classified
116,Shrubs
118,Shrubs
120,Shrubs
134,Shrubs
135,Mixed or Not Classified
138,Shrubs
141,Mixed or Not Classified
160,Mixed or Not Classified
179,Mixed or Not Classified
181,Mixed or Not Classified
185,Mixed or Not Classified
197,Shrubs
199,Natural Wooded Land
210,Shrubs
213,Mixed or Not Classified
219,Mixed or Not Classified
232,Shrubs
255,Shrubs
257,Shrubs
263,Natural Grassland
264,Mixed or Not Classified
265,Mixed or Not Classified
266,Annual Crops
267,Annual Crops
272,Shrubs
273,Shrubs
274,Shrubs
275,Shrubs
276,Shrubs
277,Mixed or Not Classified
278,Permanent Crops
279,Permanent Crops
280,Natural Grassland
281,Natural Grassland
282,Annual Crops
283,Annual Crops
287,Shrubs
288,Shrubs
294,Shrubs
316,Mixed or Not Classified
321,Mixed or Not Classified
346,Mixed or Not Classified
349,Mixed or Not Classified
351,Mixed or Not Classified
371,Shrubs
392,Shrubs
403,Mixed or Not Classified
440,Consolidated Barren
441,Shrubs
491,Mixed or Not Classified
560,Mixed or Not Classified
568,Shrubs
573,Mixed or Not Classified
590,Mixed or Not Classified
656,Shrubs
691,Mixed or Not Classified
706,Shrubs
738,Consolidated Barren
759,Shrubs
762,Shrubs
765,Consolidated Barren
798,Consolidated Barren
819,Mixed or Not Classified
880,Shrubs
953,Shrubs
993,Shrubs
1029,Mixed or Not Classified
1034,Mixed or Not Classified
1054,Shrubs
1055,Mixed or Not Classified
1056,Mixed or Not Classified
1065,Annual Crops
1088,Mixed or Not Classified
1089,Shrubs
1090,Shrubs
1091,Shrubs
1092,Annual Crops
1134,Annual Crops
1147,Mixed or Not Classified
1148,Mixed or Not Classified
1149,Unconsolidated Barren
1162,Natural Wooded Land
1169,Mixed or Not Classified
1180,Annual Crops
1181,Annual Crops
1184,Mixed or Not Classified
1224,Annual Crops
1229,Natural Grassland
1238,Mixed or Not Classified
1248,Annual Crops
1249,Natural Grassland
1250,Annual Crops
1251,Natural Grassland
1253,Mixed or Not Classified
1254,Natural Wooded Land
1255,Natural Grassland
1256,Mixed or Not Classified
1257,Natural Grassland
1258,Mixed or Not Classified
1259,Mixed or Not Classified
1260,Natural Grassland
1261,Mixed or Not Classified
1262,Mixed or Not Classified
1272,Natural Grassland
1273,Shrubs
1274,Shrubs
1276,Mixed or Not Classified
1278,Annual Crops
1291,Natural Wooded Land
1292,Shrubs
1293,Natural Grassland
1294,Annual Crops
1295,Mixed or Not Classified
1297,Natural Grassland
1302,Annual Crops
1309,Built-up
1310,Built-up
1311,Built-up
1312,Built-up
1314,Annual Crops
1357,Annual Crops
1411,Annual Crops
1429,Annual Crops
1470,Annual Crops
1479,Shrubs
1480,Natural Grassland
1481,Mixed or Not Classified
1482,Natural Wooded Land
1483,Natural Wooded Land
1487,Built-up
1488,Mixed or Not Classified
1507,Annual Crops
1538,Annual Crops
1585,Annual Crops
1588,Annual Crops
1596,Annual Crops
1604,Annual Crops
1619,Annual Crops
1629,Annual Crops
1645,Annual Crops
1733,Annual Crops
1745,Built-up
1746,Mixed or Not Classified
1799,Shrubs
1801,Mixed or Not Classified
1834,Annual Crops
1840,Annual Crops
1841,Natural Grassland
1842,Mixed or Not Classified
1843,Annual Crops
1847,Mixed or Not Classified
1851,Natural Wooded Land
1852,Unconsolidated Barren
1853,Unconsolidated Barren
1894,Shrubs
1903,Annual Crops
1916,Mixed or Not Classified
1919,Shrubs
1922,Shrubs
1937,Consolidated Barren
1953,Consolidated Barren
1960,Mixed or Not Classified
1969,Natural Grassland
1970,Mixed or Not Classified
1971,Mixed or Not Classified
1976,Mixed or Not Classified
1978,Mixed or Not Classified
1982,Shrubs
1991,Mixed or Not Classified
2013,Natural Wooded Land
2021,Natural Wooded Land
2024,Shrubs
2025,Shrubs
2026,Natural Grassland
2027,Mixed or Not Classified
2028,Mixed or Not Classified
2029,Annual Crops
2030,Annual Crops
2034,Annual Crops
2038,Annual Crops
2043,Annual Crops
2046,Annual Crops
2047,Mixed or Not Classified
2048,Mixed or Not Classified
2051,Mixed or Not Classified
2055,Mixed or Not Classified
2064,Natural Grassland
2067,Consolidated Barren
2068,Consolidated Barren
2069,Consolidated Barren
2070,Consolidated Barren
2072,Annual Crops
2090,Mixed or Not Classified
2091,Shrubs
2094,Annual Crops
2099,Shrubs
2100,Shrubs
2105,Annual Crops
2107,Annual Crops
2109,Mixed or Not Classified
2110,Annual Crops
2111,Mixed or Not Classified
2112,Annual Crops
2113,Annual Crops
2114,Annual Crops
2116,Mixed or Not Classified
2119,Mixed or Not Classified
2154,Natural Grassland
2168,Mixed or Not Classified
2183,Annual Crops
2184,Annual Crops
2185,Natural Wooded Land
2186,Natural Grassland
2187,Mixed or Not Classified
2191,Planted Forest
2192,Planted Forest
2204,Annual Crops
2208,Mixed or Not Classified
2222,Waterbodies
2226,Waterbodies
2238,Waterbodies
2240,Waterbodies
2241,Waterbodies
2248,Waterbodies
2252,Waterbodies
2257,Waterbodies
2260,Waterbodies
2267,Waterbodies
2269,Waterbodies
2275,Waterbodies
2277,Waterbodies
2279,Waterbodies
2285,Waterbodies
2289,Waterbodies
2291,Waterbodies
2292,Waterbodies
2294,Waterbodies
2295,Waterbodies
2301,Waterbodies
2304,Waterbodies
2307,Waterbodies
2312,Waterbodies
2319,Waterbodies
2331,Waterbodies
2335,Waterbodies
2340,Waterbodies
2343,Waterbodies
2344,Waterbodies
2348,Mixed or Not Classified
2349,Unconsolidated Barren
2350,Mixed or Not Classified
2351,Mixed or Not Classified
2352,Unconsolidated Barren
2353,Unconsolidated Barren
2359,Shrubs
2360,Mixed or Not Classified
2373,Consolidated Barren
2375,Mixed or Not Classified
2378,Mixed or Not Classified
2389,Mixed or Not Classified
2392,Consolidated Barren
2402,Annual Crops
2407,Annual Crops
2408,Annual Crops
2409,Annual Crops
2411,Mixed or Not Classified
2430,Mixed or Not Classified
2437,Shrubs
2456,Natural Wooded Land
2468,Natural Wooded Land
2474,Wetlands
2475,Shrubs
2511,Shrubs
2515,Mixed or Not Classified
2520,Shrubs
2521,Shrubs
2535,Shrubs
2554,Natural Wooded Land
2556,Shrubs
2585,Shrubs
2605,Shrubs
2612,Natural Wooded Land
2620,Shrubs
2625,Natural Wooded Land
2641,Shrubs
2662,Shrubs
2663,Shrubs
2668,Natural Wooded Land
2683,Shrubs
2705,Shrubs
2707,Shrubs
2727,Shrubs
2745,Shrubs
2751,Shrubs
2753,Shrubs
2783,Mixed or Not Classified
2789,Waterbodies
2794,Waterbodies
2799,Natural Grassland
2826,Annual Crops
2827,Permanent Crops
2828,Permanent Crops
2829,Permanent Crops
2841,Mixed or Not Classified
2842,Mixed or Not Classified
2843,Mixed or Not Classified
2844,Natural Wooded Land
2845,Natural Wooded Land
2846,Natural Wooded Land
2847,Natural Wooded Land
2848,Natural Grassland
2849,Natural Wooded Land
2850,Mixed or Not Classified
2851,Mixed or Not Classified
2852,Natural Grassland
2853,Planted Forest
2854,Mixed or Not Classified
2855,Permanent Crops
2856,Permanent Crops
2872,Annual Crops
2885,Annual Crops
2937,Annual Crops
2950,Annual Crops
2980,Annual Crops
3044,Annual Crops
3078,Annual Crops
3120,Annual Crops
3187,Annual Crops
3205,Annual Crops
3248,Annual Crops
3289,Annual Crops
3294,Annual Crops
3305,Annual Crops
3331,Annual Crops
3354,Natural Grassland
3363,Annual Crops
3398,Annual Crops
3399,Annual Crops
3400,Mixed or Not Classified
3401,Natural Grassland
3402,Mixed or Not Classified
3403,Mixed or Not Classified
3404,Natural Grassland
3405,Natural Grassland
3406,Mixed or Not Classified
3407,Shrubs
3408,Mixed or Not Classified
3412,Natural Grassland
3413,Natural Grassland
3414,Natural Grassland
3415,Natural Grassland
3416,Mixed or Not Classified
3420,Mixed or Not Classified
3421,Mixed or Not Classified
3422,Natural Grassland
3433,Natural Grassland
3434,Mixed or Not Classified
3435,Mixed or Not Classified
3436,Annual Crops
3437,Mixed or Not Classified
3439,Mixed or Not Classified
3467,Mixed or Not Classified
3468,Built-up
3469,Natural Grassland
3470,Shrubs
3471,Mixed or Not Classified
3472,Natural Grassland
3473,Mixed or Not Classified
3476,Shrubs
3477,Mixed or Not Classified
3478,Natural Grassland
3479,Natural Wooded Land
3480,Shrubs
3481,Shrubs
3482,Mixed or Not Classified
3483,Mixed or Not Classified
3484,Mixed or Not Classified
3485,Mixed or Not Classified
3486,Mixed or Not Classified
3487,Mixed or Not Classified
3490,Built-up
3504,Annual Crops
3516,Annual Crops
3543,Shrubs
3558,Mixed or Not Classified
3559,Natural Grassland
3560,Natural Grassland
3561,Natural Grassland
3562,Shrubs
3564,Shrubs
3565,Natural Grassland
3566,Natural Grassland
3574,Mixed or Not Classified
3575,Mixed or Not Classified
3592,Shrubs
3608,Shrubs
3613,Shrubs
3632,Consolidated Barren
3635,Shrubs
3642,Shrubs
3662,Mixed or Not Classified
3665,Mixed or Not Classified
3670,Mixed or Not Classified
3699,Mixed or Not Classified
3700,Mixed or Not Classified
3701,Mixed or Not Classified
3702,Mixed or Not Classified
3703,Mixed or Not Classified
3704,Mixed or Not Classified
3705,Shrubs
3706,Annual Crops
3707,Permanent Crops
3708,Permanent Crops
3734,Annual Crops
3738,Mixed or Not Classified
3739,Mixed or Not Classified
3740,Annual Crops
3759,Mixed or Not Classified
3761,Annual Crops
3766,Annual Crops
3768,Annual Crops
3769,Mixed or Not Classified
3774,Shrubs
3775,Shrubs
3776,Shrubs
3777,Shrubs
3778,Shrubs
3786,Annual Crops
3795,Annual Crops
3796,Annual Crops
3797,Annual Crops
3798,Annual Crops
3799,Annual Crops
3800,Mixed or Not Classified
3801,Mixed or Not Classified
3802,Built-up
3816,Annual Crops
3824,Mixed or Not Classified
3825,Shrubs
3826,Natural Grassland
3829,Natural Grassland
3830,Natural Wooded Land
3831,Annual Crops
3832,Annual Crops
3833,Annual Crops
3835,Mixed or Not Classified
3851,Shrubs
3869,Shrubs
3882,Shrubs
3883,Shrubs
3884,Shrubs
3889,Annual Crops
3907,Annual Crops
3951,Annual Crops
3960,Annual Crops
3976,Natural Grassland
3977,Natural Grassland
3978,Natural Grassland
3979,Mixed or Not Classified
3980,Natural Grassland
3981,Natural Grassland
3982,Permanent Crops
3983,Permanent Crops
3991,Natural Grassland
3992,Annual Crops
3994,Shrubs
4003,Annual Crops
4008,Mixed or Not Classified
4009,Annual Crops
4010,Shrubs
4011,Natural Grassland
4012,Shrubs
4013,Shrubs
4014,Natural Grassland
4015,Mixed or Not Classified
4016,Shrubs
4017,Natural Grassland
4018,Natural Grassland
4020,Mixed or Not Classified
4023,Natural Grassland
4024,Mixed or Not Classified
4025,Mixed or Not Classified
4026,Annual Crops
4027,Mixed or Not Classified
4064,Shrubs
4071,Shrubs
4079,Mixed or Not Classified
4112,Shrubs
4116,Mixed or Not Classified
4151,Mixed or Not Classified
4161,Shrubs
4168,Shrubs
4170,Shrubs
4173,Shrubs
4179,Shrubs
4196,Shrubs
4221,Shrubs
4234,Shrubs
4244,Shrubs
4283,Shrubs
4288,Shrubs
4294,Shrubs
4299,Shrubs
4314,Shrubs
4316,Mixed or Not Classified
4332,Shrubs
4333,Shrubs
4378,Shrubs
4403,Shrubs
4413,Mixed or Not Classified
4435,Shrubs
4450,Shrubs
4452,Shrubs
4469,Shrubs
4472,Shrubs
4477,Mixed or Not Classified
4481,Shrubs
4490,Mixed or Not Classified
4505,Shrubs
4526,Shrubs
4537,Shrubs
4545,Shrubs
4556,Mixed or Not Classified
4579,Shrubs
4588,Shrubs
4604,Shrubs
4605,Mixed or Not Classified
4610,Shrubs
4611,Mixed or Not Classified
4629,Mixed or Not Classified
4661,Shrubs
4681,Shrubs
4698,Shrubs
4719,Mixed or Not Classified
4725,Natural Grassland
4726,Natural Wooded Land
4727,Natural Wooded Land
4728,Natural Grassland
4731,Annual Crops
4732,Annual Crops
4733,Mixed or Not Classified
4734,Annual Crops
4739,Annual Crops
4753,Natural Grassland
4758,Shrubs
4761,Shrubs
4767,Mixed or Not Classified
4777,Shrubs
4802,Mixed or Not Classified
4804,Shrubs
4812,Shrubs
4821,Planted Forest
4822,Natural Grassland
4823,Planted Forest
4836,Mixed or Not Classified
4840,Annual Crops
4851,Natural Grassland
4854,Permanent Crops
4855,Permanent Crops
4856,Permanent Crops
4859,Natural Grassland
4860,Mixed or Not Classified
4875,Natural Grassland
4876,Natural Grassland
4877,Natural Grassland
4878,Mixed or Not Classified
4879,Shrubs
4880,Shrubs
4882,Natural Wooded Land
4883,Shrubs
4884,Shrubs
4885,Annual Crops
4890,Annual Crops
4901,Annual Crops
4902,Natural Grassland
4903,Natural Grassland
4906,Shrubs
4907,Shrubs
4908,Annual Crops
4909,Mixed or Not Classified
4910,Shrubs
4911,Mixed or Not Classified
4931,Annual Crops
4934,Built-up
4935,Built-up
4936,Built-up
4937,Built-up
4938,Built-up
4939,Mixed or Not Classified
4940,Natural Wooded Land
4941,Natural Wooded Land
4942,Natural Wooded Land
4943,Natural Wooded Land
4944,Natural Wooded Land
4946,Natural Grassland
4949,Mixed or Not Classified
4950,Natural Grassland
4951,Natural Grassland
4953,Built-up
4954,Built-up
4955,Mixed or Not Classified
4956,Mixed or Not Classified
4962,Natural Grassland
4963,Mixed or Not Classified
4964,Mixed or Not Classified
4965,Natural Grassland
4966,Natural Grassland
4967,Natural Grassland
4968,Mixed or Not Classified
4969,Mixed or Not Classified
4970,Natural Grassland
4971,Natural Grassland
4972,Mixed or Not Classified
4973,Natural Grassland
4974,Natural Grassland
4975,Mixed or Not Classified
4976,Natural Grassland
4977,Mixed or Not Classified
4978,Natural Grassland
4979,Mixed or Not Classified
4980,Natural Grassland
4981,Mixed or Not Classified
4982,Mixed or Not Classified
4998,Annual Crops
5028,Permanent Crops
5029,Permanent Crops
5030,Permanent Crops
5031,Built-up
5032,Mixed or Not Classified
5033,Built-up
5034,Mixed or Not Classified
5035,Shrubs
5036,Mixed or Not Classified
5037,Mixed or Not Classified
5038,Mixed or Not Classified
5039,Natural Grassland
5040,Natural Grassland
5041,Natural Grassland
5042,Permanent Crops
5043,Permanent Crops
5053,Natural Wooded Land
5054,Mixed or Not Classified
5061,Annual Crops
5062,Annual Crops
5063,Natural Grassland
5064,Natural Grassland
5065,Natural Grassland
5092,Mixed or Not Classified
5094,Shrubs
5095,Shrubs
5096,Mixed or Not Classified
5097,Mixed or Not Classified
5098,Natural Grassland
5099,Natural Wooded Land
5101,Mixed or Not Classified
5104,Mixed or Not Classified
5109,Mixed or Not Classified
5113,Shrubs
5114,Mixed or Not Classified
5115,Natural Wooded Land
5116,Shrubs
5118,Natural Wooded Land
5119,Shrubs
5120,Shrubs
5135,Shrubs
5141,Mixed or Not Classified
5149,Mixed or Not Classified
5154,Shrubs
5155,Shrubs
5161,Mixed or Not Classified
5166,Shrubs
5168,Mixed or Not Classified
5170,Mixed or Not Classified
5175,Shrubs
5177,Shrubs
5195,Shrubs
5224,Mixed or Not Classified
5227,Shrubs
5240,Shrubs
5251,Shrubs
5276,Mixed or Not Classified
5283,Mixed or Not Classified
5286,Natural Grassland
5299,Mixed or Not Classified
5302,Mixed or Not Classified
5304,Shrubs
5306,Shrubs
5321,Shrubs
5348,Mixed or Not Classified
5349,Shrubs
5350,Natural Wooded Land
5358,Mixed or Not Classified
5360,Natural Wooded Land
5362,Natural Wooded Land
5363,Mixed or Not Classified
5366,Mixed or Not Classified
5368,Natural Wooded Land
5369,Natural Wooded Land
5370,Shrubs
5372,Mixed or Not Classified
5373,Planted Forest
5374,Consolidated Barren
5375,Mixed or Not Classified
5376,Shrubs
5377,Mixed or Not Classified
5378,Mixed or Not Classified
5381,Annual Crops
5387,Annual Crops
5388,Planted Forest
5389,Planted Forest
5390,Mixed or Not Classified
5393,Mixed or Not Classified
5394,Natural Wooded Land
5395,Mixed or Not Classified
5396,Planted Forest
5397,Mixed or Not Classified
5400,Mixed or Not Classified
5403,Planted Forest
5405,Mixed or Not Classified
5406,Annual Crops
5408,Annual Crops
5409,Natural Wooded Land
5410,Natural Wooded Land
5411,Mixed or Not Classified
5412,Natural Wooded Land
5413,Natural Wooded Land
5414,Mixed or Not Classified
5415,Natural Wooded Land
5416,Shrubs
5417,Mixed or Not Classified
5418,Mixed or Not Classified
5419,Natural Wooded Land
5421,Planted Forest
5422,Planted Forest
5435,Mixed or Not Classified
5443,Natural Wooded Land
5445,Mixed or Not Classified
5453,Annual Crops
5455,Shrubs
5456,Mixed or Not Classified
5457,Shrubs
5458,Shrubs
5459,Natural Wooded Land
5460,Natural Wooded Land
5464,Planted Forest
5468,Natural Wooded Land
5469,Natural Wooded Land
5473,Planted Forest
5474,Natural Wooded Land
5475,Shrubs
5476,Mixed or Not Classified
5477,Planted Forest
5478,Mixed or Not Classified
5479,Mixed or Not Classified
5480,Mixed or Not Classified
5481,Planted Forest
5485,Planted Forest
5486,Natural Wooded Land
5487,Planted Forest
5488,Mixed or Not Classified
5489,Shrubs
5490,Shrubs
5491,Mixed or Not Classified
5493,Planted Forest
5497,Natural Wooded Land
5498,Shrubs
5499,Mixed or Not Classified
5500,Planted Forest
5501,Mixed or Not Classified
5502,Natural Wooded Land
5504,Shrubs
5506,Shrubs
5509,Natural Wooded Land
5510,Mixed or Not Classified
5511,Natural Wooded Land
